id,Nombre,Apellido,Email,ciclo_1,ciclo_2,ciclo_3,Email.1,apps usadas
Emily,Holloway,emily.holloway.41@gslingacademy.com,15.8,16.2,16.2,,,
Jesus,Rasmussen,jesus.rasmussen.42@gslingacademy.com,17.6,11.2,17.2,,,
Lauren,Farmer,lauren.farmer.43@gslingacademy.com,17.4,19.6,12.6,,,
Pamela,Cole,pamela.cole.44@gslingacademy.com,18.2,13.6,13.2,,,
David,Gillespie,david.gillespie.45@gslingacademy.com,10.6,19.0,16.6,,,
Kenneth,Davis,kenneth.davis.46@gslingacademy.com,16.8,10.6,19.2,,,
Elizabeth,Martin,elizabeth.martin.47@gslingacademy.com,20.0,18.2,17.4,,,
Billy,Soto,billy.soto.48@gslingacademy.com,19.4,13.0,13.0,,,
Kimberly,Kelly,kimberly.kelly.49@gslingacademy.com,12.8,13.6,20.0,,,
Sonia,Noble,sonia.noble.50@gslingacademy.com,6.0,16.6,14.8,,,
Christopher,Stewart,christopher.stewart.51@gslingacademy.com,17.8,17.4,18.8,,,
Sandra,Thornton,sandra.thornton.52@gslingacademy.com,17.0,17.2,12.2,,,
Luke,Shannon,luke.shannon.53@gslingacademy.com,16.4,10.2,14.0,,,
Lindsay,Pruitt,lindsay.pruitt.54@gslingacademy.com,17.8,19.6,13.6,,,
Jamie,Taylor,jamie.taylor.55@gslingacademy.com,12.0,15.4,16.6,,,
Jennifer,Murphy,jennifer.murphy.56@gslingacademy.com,15.2,14.2,19.8,,,
Melissa,Lee,melissa.lee.57@gslingacademy.com,17.4,16.2,12.4,,,
David,Vaughn,david.vaughn.58@gslingacademy.com,13.4,15.6,19.8,,,
Jacob,Hanson,jacob.hanson.59@gslingacademy.com,18.2,19.0,15.4,,,
Casey,May,casey.may.60@gslingacademy.com,17.0,19.2,19.6,,,
Michelle,Roman,michelle.roman.61@gslingacademy.com,15.6,16.6,15.2,,,
Brittany,Koch,brittany.koch.62@gslingacademy.com,19.8,17.6,14.6,,,
Brian,Lewis,brian.lewis.63@gslingacademy.com,10.4,19.2,12.4,,,
Veronica,Cameron,veronica.cameron.64@gslingacademy.com,13.4,19.0,13.8,,,
Eric,Reyes,eric.reyes.65@gslingacademy.com,12.6,16.0,15.6,,,
Kristy,Weber,kristy.weber.66@gslingacademy.com,15.2,19.2,17.6,,,
Anthony,Smith,anthony.smith.67@gslingacademy.com,20.0,14.2,16.0,,,
Steven,Stephens,steven.stephens.68@gslingacademy.com,14.4,19.4,18.2,,,
Henry,Davis,henry.davis.69@gslingacademy.com,16.2,14.2,17.6,,,
Raymond,Shea,raymond.shea.70@gslingacademy.com,18.2,17.4,16.6,,,
Jill,Perez,jill.perez.71@gslingacademy.com,17.2,17.6,14.0,,,
Kimberly,Bonilla,kimberly.bonilla.72@gslingacademy.com,18.6,19.4,14.6,,,
Louis,Edwards,louis.edwards.73@gslingacademy.com,11.8,15.6,16.0,,,
Michael,Hodge,michael.hodge.74@gslingacademy.com,19.8,11.6,13.6,,,
Anna,Li,anna.li.75@gslingacademy.com,14.6,16.2,17.4,,,
Andrea,Case,andrea.case.76@gslingacademy.com,20.0,19.6,15.4,,,
Jennifer,Garcia,jennifer.garcia.77@gslingacademy.com,17.8,19.8,16.0,,,
Rhonda,Davenport,rhonda.davenport.78@gslingacademy.com,14.8,18.6,13.0,,,
Chelsea,Craig,chelsea.craig.79@gslingacademy.com,13.6,15.4,12.8,,,
Shawn,Chase,shawn.chase.80@gslingacademy.com,18.6,15.0,18.4,,,
Elizabeth,Calhoun,elizabeth.calhoun.81@gslingacademy.com,12.4,11.6,13.0,,,
Lisa,Harris,lisa.harris.82@gslingacademy.com,18.2,12.2,13.4,,,
Carol,Snyder,carol.snyder.83@gslingacademy.com,19.0,18.4,15.0,,,
Charles,Butler,charles.butler.84@gslingacademy.com,17.6,18.6,14.4,,,
James,Dawson,james.dawson.85@gslingacademy.com,13.0,14.6,17.4,,,
Dennis,Kim,dennis.kim.86@gslingacademy.com,14.0,15.4,13.2,,,
Jennifer,Berry,jennifer.berry.87@gslingacademy.com,18.4,13.4,18.0,,,
Yvette,Bridges,yvette.bridges.88@gslingacademy.com,16.2,12.6,14.0,,,
Robert,Atkins,robert.atkins.89@gslingacademy.com,13.8,17.8,20.0,,,
William,Brown,william.brown.90@gslingacademy.com,12.4,17.0,14.6,,,
Patrick,Parker,patrick.parker.91@gslingacademy.com,6.4,13.0,13.6,,,
James,Santiago,james.santiago.92@gslingacademy.com,12.4,19.6,18.6,,,
Robert,Parsons,robert.parsons.93@gslingacademy.com,17.4,19.6,16.6,,,
Jacob,Brown,jacob.brown.94@gslingacademy.com,16.8,13.4,17.2,,,
Natalie,Robinson,natalie.robinson.95@gslingacademy.com,12.8,18.6,17.0,,,
Victoria,Jones,victoria.jones.96@gslingacademy.com,16.2,12.8,18.8,,,
Natasha,Hansen,natasha.hansen.97@gslingacademy.com,15.2,13.8,18.2,,,
Thomas,White,thomas.white.98@gslingacademy.com,15.8,14.4,17.6,,,
Derrick,Figueroa,derrick.figueroa.99@gslingacademy.com,19.2,16.6,17.2,,,
Kimberly,Ward,kimberly.ward.100@gslingacademy.com,19.8,18.6,19.6,,,
Rhonda,Jones,rhonda.jones.101@gslingacademy.com,15.8,12.0,15.4,,,
Abigail,Perez,abigail.perez.102@gslingacademy.com,16.2,19.6,13.0,,,
James,Yang,james.yang.103@gslingacademy.com,14.6,18.0,19.8,,,
Stephen,Patton,stephen.patton.104@gslingacademy.com,12.8,14.0,15.8,,,
Emma,Wright,emma.wright.105@gslingacademy.com,17.4,15.6,19.8,,,
Cynthia,Brown,cynthia.brown.106@gslingacademy.com,12.4,19.0,15.4,,,
Erin,Kelley,erin.kelley.107@gslingacademy.com,18.8,19.0,16.8,,,
Benjamin,Morse,benjamin.morse.108@gslingacademy.com,16.2,15.4,17.2,,,
Alexandra,Gibson,alexandra.gibson.109@gslingacademy.com,12.2,17.4,19.0,,,
Phillip,Allen,phillip.allen.110@gslingacademy.com,12.8,15.4,16.4,,,
Joshua,Gonzalez,joshua.gonzalez.111@gslingacademy.com,17.8,18.0,12.8,,,
Erin,Jones,erin.jones.112@gslingacademy.com,10.0,10.8,15.2,,,
Charles,Hayes,charles.hayes.113@gslingacademy.com,11.4,18.6,17.2,,,
Kelsey,Brown,kelsey.brown.114@gslingacademy.com,12.2,15.2,16.2,,,
Robert,Turner,robert.turner.115@gslingacademy.com,12.8,18.8,20.0,,,
Robert,Hill,robert.hill.116@gslingacademy.com,14.4,16.8,15.4,,,
Alyssa,Ritter,alyssa.ritter.117@gslingacademy.com,10.8,19.4,19.0,,,
Beth,Bell,beth.bell.118@gslingacademy.com,14.8,12.6,15.0,,,
Andrew,Dixon,andrew.dixon.119@gslingacademy.com,12.0,12.6,18.6,,,
Crystal,Walker,crystal.walker.120@gslingacademy.com,11.0,12.0,12.8,,,
Jordan,Bennett,jordan.bennett.121@gslingacademy.com,15.2,18.0,18.2,,,
Antonio,Caldwell,antonio.caldwell.122@gslingacademy.com,19.4,17.6,15.0,,,
Jacob,Reyes,jacob.reyes.123@gslingacademy.com,17.0,17.2,17.0,,,
Wendy,Lewis,wendy.lewis.124@gslingacademy.com,18.2,19.2,17.8,,,
Jennifer,Miller,jennifer.miller.125@gslingacademy.com,16.2,14.4,14.2,,,
Lisa,Ware,lisa.ware.126@gslingacademy.com,12.0,17.8,14.2,,,
Brian,Lee,brian.lee.127@gslingacademy.com,17.4,13.6,15.6,,,
Mario,Taylor,mario.taylor.128@gslingacademy.com,17.2,15.4,15.0,,,
Amanda,Williamson,amanda.williamson.129@gslingacademy.com,19.2,13.8,17.2,,,
Michael,Miller,michael.miller.130@gslingacademy.com,17.4,13.6,13.8,,,
Amanda,Vasquez,amanda.vasquez.131@gslingacademy.com,12.6,16.8,17.4,,,
Chelsea,Obrien,chelsea.obrien.132@gslingacademy.com,13.4,18.4,13.8,,,
Tina,Perkins,tina.perkins.133@gslingacademy.com,19.8,13.8,15.8,,,
Cory,Perez,cory.perez.134@gslingacademy.com,17.0,18.6,15.6,,,
Christopher,Jenkins,christopher.jenkins.135@gslingacademy.com,17.0,18.0,14.8,,,
Joanne,Campos,joanne.campos.136@gslingacademy.com,16.6,17.0,17.2,,,
David,Patel,david.patel.137@gslingacademy.com,16.2,19.2,15.2,,,
Michelle,Hill,michelle.hill.138@gslingacademy.com,12.2,18.0,19.0,,,
Jessica,Boyd,jessica.boyd.139@gslingacademy.com,13.6,16.4,16.2,,,
Lawrence,Russell,lawrence.russell.140@gslingacademy.com,19.4,18.6,15.6,,,
James,Singh,james.singh.141@gslingacademy.com,15.4,13.4,18.6,,,
Marc,Villanueva,marc.villanueva.142@gslingacademy.com,19.6,12.6,20.0,,,
Cathy,Wilson,cathy.wilson.143@gslingacademy.com,12.0,19.4,20.0,,,
Adam,Mitchell,adam.mitchell.144@gslingacademy.com,16.0,16.0,15.0,,,
Sherry,Phillips,sherry.phillips.145@gslingacademy.com,17.2,14.4,17.6,,,
Victor,Jones,victor.jones.146@gslingacademy.com,20.0,19.6,18.4,,,
Mark,Young,mark.young.147@gslingacademy.com,13.6,11.6,15.6,,,
Matthew,Jackson,matthew.jackson.148@gslingacademy.com,19.2,17.4,14.8,,,
Tanya,Nichols,tanya.nichols.149@gslingacademy.com,18.8,15.0,14.8,,,
Julie,Gray,julie.gray.150@gslingacademy.com,16.4,14.2,18.6,,,
Courtney,Perry,courtney.perry.151@gslingacademy.com,14.6,12.2,12.0,,,
Stephen,Rodriguez,stephen.rodriguez.152@gslingacademy.com,10.0,19.6,16.6,,,
Elizabeth,Robinson,elizabeth.robinson.153@gslingacademy.com,16.8,18.0,16.4,,,
William,Graves,william.graves.154@gslingacademy.com,13.0,13.6,16.2,,,
Nancy,Moore,nancy.moore.155@gslingacademy.com,14.6,16.2,19.6,,,
Matthew,Newman,matthew.newman.156@gslingacademy.com,16.0,18.4,13.0,,,
Anita,Moore,anita.moore.157@gslingacademy.com,15.2,12.8,19.0,,,
Brian,Sanchez,brian.sanchez.158@gslingacademy.com,11.6,13.8,19.2,,,
Dennis,Phillips,dennis.phillips.159@gslingacademy.com,12.4,14.4,13.0,,,
Michael,Rivas,michael.rivas.160@gslingacademy.com,13.0,15.2,15.8,,,
Ryan,Smith,ryan.smith.161@gslingacademy.com,15.2,14.4,17.4,,,
Anthony,Sullivan,anthony.sullivan.162@gslingacademy.com,13.0,15.2,14.4,,,
Troy,Shepherd,troy.shepherd.163@gslingacademy.com,18.6,19.4,18.2,,,
Nicholas,Clayton,nicholas.clayton.164@gslingacademy.com,19.0,19.4,18.6,,,
Denise,Schneider,denise.schneider.165@gslingacademy.com,18.0,16.0,17.6,,,
Lisa,Silva,lisa.silva.166@gslingacademy.com,15.4,16.0,14.6,,,
Laura,Reilly,laura.reilly.167@gslingacademy.com,12.8,16.2,12.2,,,
Amy,Peterson,amy.peterson.168@gslingacademy.com,13.8,18.4,15.2,,,
Fernando,Sexton,fernando.sexton.169@gslingacademy.com,14.2,19.4,13.2,,,
Evan,Christian,evan.christian.170@gslingacademy.com,14.6,16.8,19.8,,,
Rebecca,Norris,rebecca.norris.171@gslingacademy.com,13.0,19.6,14.2,,,
Erica,Marks,erica.marks.172@gslingacademy.com,14.8,12.8,16.2,,,
Rhonda,Webster,rhonda.webster.173@gslingacademy.com,13.6,16.6,15.8,,,
John,Bennett,john.bennett.174@gslingacademy.com,15.4,19.4,16.2,,,
Amanda,Murphy,amanda.murphy.175@gslingacademy.com,11.4,16.2,16.2,,,
Jeremy,Barnes,jeremy.barnes.176@gslingacademy.com,16.8,15.6,18.0,,,
John,Brown,john.brown.177@gslingacademy.com,19.0,18.0,16.6,,,
Traci,Boyd,traci.boyd.178@gslingacademy.com,17.0,18.2,12.2,,,
Elizabeth,Butler,elizabeth.butler.179@gslingacademy.com,19.0,19.6,17.8,,,
Alex,Clark,alex.clark.180@gslingacademy.com,19.4,13.2,15.8,,,
Christopher,Wolfe,christopher.wolfe.181@gslingacademy.com,14.4,16.0,18.6,,,
Jason,Bell,jason.bell.182@gslingacademy.com,20.0,17.2,12.4,,,
Victoria,Donaldson,victoria.donaldson.183@gslingacademy.com,18.2,18.6,17.0,,,
Logan,Cox,logan.cox.184@gslingacademy.com,18.2,17.6,15.4,,,
Rachel,Hill,rachel.hill.185@gslingacademy.com,16.2,13.8,19.0,,,
Jenny,Lloyd,jenny.lloyd.186@gslingacademy.com,20.0,17.6,17.0,,,
Joan,Cohen,joan.cohen.187@gslingacademy.com,13.0,16.8,16.0,,,
Kimberly,Lopez,kimberly.lopez.188@gslingacademy.com,10.8,15.2,15.2,,,
Steven,Walker,steven.walker.189@gslingacademy.com,20.0,17.8,13.4,,,
Sonia,Bowers,sonia.bowers.190@gslingacademy.com,17.8,19.8,17.4,,,
Penny,Perez,penny.perez.191@gslingacademy.com,18.4,18.0,12.0,,,
Mike,Harris,mike.harris.192@gslingacademy.com,17.6,12.2,17.0,,,
Vanessa,Sweeney,vanessa.sweeney.193@gslingacademy.com,19.2,14.2,16.0,,,
Adam,Edwards,adam.edwards.194@gslingacademy.com,13.6,13.2,13.8,,,
Angelica,Johnson,angelica.johnson.195@gslingacademy.com,16.4,14.0,18.8,,,
Tiffany,Hernandez,tiffany.hernandez.196@gslingacademy.com,13.0,17.0,13.4,,,
Mark,Myers,mark.myers.197@gslingacademy.com,16.8,16.6,12.8,,,
Erica,Cochran,erica.cochran.198@gslingacademy.com,16.6,18.2,13.4,,,
Karen,Watson,karen.watson.199@gslingacademy.com,18.2,12.2,18.8,,,
Kathryn,Frazier,kathryn.frazier.200@gslingacademy.com,12.0,16.2,15.6,,,
Anthony,Jackson,anthony.jackson.201@gslingacademy.com,12.0,15.8,19.2,,,
Jordan,Perez,jordan.perez.202@gslingacademy.com,18.6,16.0,20.0,,,
Jennifer,Burgess,jennifer.burgess.203@gslingacademy.com,7.4,16.0,14.2,,,
Christina,Davis,christina.davis.204@gslingacademy.com,9.2,13.4,19.2,,,
April,Ryan,april.ryan.205@gslingacademy.com,16.4,17.2,19.6,,,
Maxwell,Davis,maxwell.davis.206@gslingacademy.com,18.0,19.0,15.8,,,
Matthew,Guzman,matthew.guzman.207@gslingacademy.com,19.4,15.4,18.4,,,
Robert,Mayer,robert.mayer.208@gslingacademy.com,12.4,13.6,19.8,,,
Amanda,Willis,amanda.willis.209@gslingacademy.com,17.2,19.0,15.2,,,
Michele,Thomas,michele.thomas.210@gslingacademy.com,12.0,16.8,17.2,,,
Tim,Turner,tim.turner.211@gslingacademy.com,18.8,17.4,19.2,,,
Joe,Strickland,joe.strickland.212@gslingacademy.com,16.8,12.0,14.2,,,
Trevor,Cruz,trevor.cruz.213@gslingacademy.com,18.6,17.8,13.6,,,
Melissa,Roberts,melissa.roberts.214@gslingacademy.com,19.0,12.8,12.8,,,
Tammy,Miller,tammy.miller.215@gslingacademy.com,14.6,19.6,18.2,,,
Chad,Morgan,chad.morgan.216@gslingacademy.com,18.8,16.6,15.6,,,
Samantha,Maldonado,samantha.maldonado.217@gslingacademy.com,18.0,15.2,19.4,,,
Marie,Martin,marie.martin.218@gslingacademy.com,15.2,18.8,19.4,,,
Theresa,Tucker,theresa.tucker.219@gslingacademy.com,19.2,14.0,12.6,,,
Joseph,Morris,joseph.morris.220@gslingacademy.com,13.6,18.4,14.4,,,
Charles,Parker,charles.parker.221@gslingacademy.com,15.0,13.2,16.8,,,
Rachel,Alvarez,rachel.alvarez.222@gslingacademy.com,16.8,18.0,14.8,,,
Charles,Robertson,charles.robertson.223@gslingacademy.com,13.2,18.0,19.8,,,
Steven,York,steven.york.224@gslingacademy.com,15.6,18.6,14.4,,,
Robert,Dougherty,robert.dougherty.225@gslingacademy.com,13.2,10.0,19.8,,,
Vanessa,Wheeler,vanessa.wheeler.226@gslingacademy.com,14.2,19.2,17.4,,,
Emily,Mcclure,emily.mcclure.227@gslingacademy.com,19.4,16.6,17.0,,,
Angela,Thomas,angela.thomas.228@gslingacademy.com,15.4,18.2,19.2,,,
Roberto,Evans,roberto.evans.229@gslingacademy.com,17.8,17.0,16.0,,,
Christopher,Perez,christopher.perez.230@gslingacademy.com,13.4,18.8,13.6,,,
William,Torres,william.torres.231@gslingacademy.com,20.0,17.4,17.8,,,
Lisa,Gardner,lisa.gardner.232@gslingacademy.com,17.2,18.4,18.8,,,
Catherine,Owens,catherine.owens.233@gslingacademy.com,18.4,19.8,17.0,,,
Keith,Summers,keith.summers.234@gslingacademy.com,18.0,18.0,14.2,,,
Linda,Adams,linda.adams.235@gslingacademy.com,16.4,15.0,16.8,,,
Michael,Wright,michael.wright.236@gslingacademy.com,14.4,14.8,18.8,,,
Kyle,James,kyle.james.237@gslingacademy.com,17.0,16.8,14.6,,,
Christopher,Cook,christopher.cook.238@gslingacademy.com,12.6,14.4,15.0,,,
John,Conley,john.conley.239@gslingacademy.com,16.2,15.2,18.2,,,
David,Barnett,david.barnett.240@gslingacademy.com,14.0,18.6,13.4,,,
Peter,Garner,peter.garner.241@gslingacademy.com,20.0,18.4,17.4,,,
Douglas,Stewart,douglas.stewart.242@gslingacademy.com,12.6,12.2,17.0,,,
Heidi,Jones,heidi.jones.243@gslingacademy.com,15.6,16.4,17.2,,,
Jeremy,Daniels,jeremy.daniels.244@gslingacademy.com,18.8,18.4,13.0,,,
Dustin,Dodson,dustin.dodson.245@gslingacademy.com,14.8,13.6,13.8,,,
Christopher,Cohen,christopher.cohen.246@gslingacademy.com,6.0,15.6,17.6,,,
Willie,Ellis,willie.ellis.247@gslingacademy.com,15.6,14.2,18.6,,,
Robert,Hawkins,robert.hawkins.248@gslingacademy.com,19.8,18.4,15.8,,,
Stacy,Jordan,stacy.jordan.249@gslingacademy.com,12.4,16.0,16.6,,,
Robert,Swanson,robert.swanson.250@gslingacademy.com,18.4,17.4,19.4,,,
Holly,Henderson,holly.henderson.251@gslingacademy.com,17.0,19.2,17.4,,,
Debra,Valdez,debra.valdez.252@gslingacademy.com,16.6,14.8,18.8,,,
Vincent,Robertson,vincent.robertson.253@gslingacademy.com,18.2,13.4,16.8,,,
Karen,Spencer,karen.spencer.254@gslingacademy.com,8.2,18.0,15.6,,,
Nathan,Riley,nathan.riley.255@gslingacademy.com,19.8,17.2,18.6,,,
Andrea,Sutton,andrea.sutton.256@gslingacademy.com,18.6,17.4,20.0,,,
Tracey,Turner,tracey.turner.257@gslingacademy.com,14.6,15.0,18.6,,,
Tammy,Olsen,tammy.olsen.258@gslingacademy.com,12.4,14.8,12.2,,,
Sheila,Wilkinson,sheila.wilkinson.259@gslingacademy.com,16.0,16.8,13.0,,,
Nathan,Padilla,nathan.padilla.260@gslingacademy.com,15.2,19.0,12.4,,,
Sarah,Santiago,sarah.santiago.261@gslingacademy.com,18.0,19.2,18.0,,,
Christopher,Cruz,christopher.cruz.262@gslingacademy.com,15.2,17.6,17.6,,,
Nicholas,Sanders,nicholas.sanders.263@gslingacademy.com,16.2,13.4,13.4,,,
Jessica,Waters,jessica.waters.264@gslingacademy.com,16.0,19.4,16.0,,,
James,Miller,james.miller.265@gslingacademy.com,12.0,17.6,14.8,,,
Adam,Kane,adam.kane.266@gslingacademy.com,15.8,17.2,12.6,,,
Patricia,Gonzalez,patricia.gonzalez.267@gslingacademy.com,16.0,19.8,15.2,,,
Whitney,Holmes,whitney.holmes.268@gslingacademy.com,18.2,13.6,13.0,,,
Rachel,Hamilton,rachel.hamilton.269@gslingacademy.com,16.8,18.4,19.8,,,
Melissa,Marshall,melissa.marshall.270@gslingacademy.com,16.0,16.2,12.0,,,
Jacob,Henderson,jacob.henderson.271@gslingacademy.com,18.8,14.2,15.4,,,
Melissa,Huerta,melissa.huerta.272@gslingacademy.com,17.4,12.4,13.6,,,
Kevin,Camacho,kevin.camacho.273@gslingacademy.com,20.0,14.0,18.8,,,
Anthony,Martinez,anthony.martinez.274@gslingacademy.com,11.6,10.4,15.0,,,
Randy,Rodriguez,randy.rodriguez.275@gslingacademy.com,13.4,18.4,16.4,,,
Patrick,Vazquez,patrick.vazquez.276@gslingacademy.com,14.6,13.6,14.0,,,
Kim,Flores,kim.flores.277@gslingacademy.com,16.8,18.4,18.8,,,
Robert,Salazar,robert.salazar.278@gslingacademy.com,15.0,16.0,19.6,,,
Victoria,Vasquez,victoria.vasquez.279@gslingacademy.com,18.0,15.8,14.4,,,
Ricardo,Macias,ricardo.macias.280@gslingacademy.com,18.2,16.8,19.6,,,
Brandi,Bauer,brandi.bauer.281@gslingacademy.com,13.8,15.0,19.4,,,
Jorge,Roth,jorge.roth.282@gslingacademy.com,17.8,12.8,18.2,,,
Benjamin,Davis,benjamin.davis.283@gslingacademy.com,15.4,16.2,18.4,,,
Nancy,Pierce,nancy.pierce.284@gslingacademy.com,15.2,19.0,17.0,,,
Catherine,Weiss,catherine.weiss.285@gslingacademy.com,13.8,17.6,20.0,,,
Jacob,Perez,jacob.perez.286@gslingacademy.com,18.2,13.4,13.6,,,
Penny,Zuniga,penny.zuniga.287@gslingacademy.com,16.6,17.6,18.8,,,
Anthony,Cox,anthony.cox.288@gslingacademy.com,12.2,19.6,15.4,,,
Angela,Nelson,angela.nelson.289@gslingacademy.com,15.6,10.2,12.4,,,
Lisa,White,lisa.white.290@gslingacademy.com,17.4,18.0,17.2,,,
Robin,Parker,robin.parker.291@gslingacademy.com,14.8,18.8,12.8,,,
Cynthia,Shields,cynthia.shields.292@gslingacademy.com,15.0,18.8,18.6,,,
Pamela,Wilkinson,pamela.wilkinson.293@gslingacademy.com,7.2,19.2,17.2,,,
Brenda,Nichols,brenda.nichols.294@gslingacademy.com,13.2,18.6,17.2,,,
Laura,Rodriguez,laura.rodriguez.295@gslingacademy.com,14.0,18.8,16.2,,,
Julie,Carey,julie.carey.296@gslingacademy.com,13.6,19.8,14.8,,,
Barbara,Andrews,barbara.andrews.297@gslingacademy.com,14.0,16.0,14.6,,,
Tracy,Johnson,tracy.johnson.298@gslingacademy.com,13.0,18.0,19.4,,,
Sarah,Oconnor,sarah.oconnor.299@gslingacademy.com,16.8,12.6,12.8,,,
Joseph,Landry,joseph.landry.300@gslingacademy.com,17.4,18.0,15.2,,,
Terry,Chen,terry.chen.301@gslingacademy.com,15.6,12.0,16.2,,,
Heather,Faulkner,heather.faulkner.302@gslingacademy.com,14.8,19.6,19.0,,,
Wanda,Baxter,wanda.baxter.303@gslingacademy.com,13.4,14.8,17.8,,,
Amanda,Davis,amanda.davis.304@gslingacademy.com,18.0,15.2,12.0,,,
Gina,Powell,gina.powell.305@gslingacademy.com,14.0,12.2,12.0,,,
Sabrina,Hall,sabrina.hall.306@gslingacademy.com,12.4,15.6,18.2,,,
Lauren,Miller,lauren.miller.307@gslingacademy.com,12.4,14.0,15.0,,,
Jessica,Diaz,jessica.diaz.308@gslingacademy.com,20.0,18.0,17.8,,,
Ashley,Garcia,ashley.garcia.309@gslingacademy.com,12.2,12.2,15.2,,,
Miranda,Johnson,miranda.johnson.310@gslingacademy.com,19.0,15.4,17.6,,,
Tracy,Johnston,tracy.johnston.311@gslingacademy.com,15.0,15.8,19.2,,,
Erik,Butler,erik.butler.312@gslingacademy.com,18.6,17.4,14.0,,,
Tiffany,Jones,tiffany.jones.313@gslingacademy.com,16.2,13.8,18.0,,,
Brandy,Campbell,brandy.campbell.314@gslingacademy.com,18.4,14.0,19.2,,,
Joel,Hicks,joel.hicks.315@gslingacademy.com,18.2,18.2,19.8,,,
John,Miller,john.miller.316@gslingacademy.com,15.8,13.0,14.8,,,
Nancy,Jones,nancy.jones.317@gslingacademy.com,18.0,13.6,20.0,,,
Jody,Mueller,jody.mueller.318@gslingacademy.com,17.8,15.6,17.4,,,
Steven,Fox,steven.fox.319@gslingacademy.com,15.4,14.2,12.2,,,
Taylor,Klein,taylor.klein.320@gslingacademy.com,17.8,16.6,18.6,,,
David,Barron,david.barron.321@gslingacademy.com,19.4,17.8,17.6,,,
Kevin,Thompson,kevin.thompson.322@gslingacademy.com,18.8,18.2,13.8,,,
Andrea,Walters,andrea.walters.323@gslingacademy.com,16.2,14.0,13.0,,,
David,Wright,david.wright.324@gslingacademy.com,15.8,13.0,17.2,,,
Anthony,Oconnor,anthony.oconnor.325@gslingacademy.com,15.8,18.6,14.8,,,
